,ISO3,year,GDP
6228,KHM,2006,539.747365391142
6229,KHM,2007,629.92107663841
6230,KHM,2008,742.397972321917
6231,KHM,2009,734.815118652103
6232,KHM,2010,782.695738595564
6233,KHM,2011,880.310304428913
6234,KHM,2012,950.482544613835
6235,KHM,2013,1015.22088134268
6236,KHM,2014,1098.07453750531
6237,KHM,2015,1170.74281578643
6238,KHM,2016,1281.10597105412
6239,KHM,2017,1400.89926522987
6240,KHM,2018,1533.31598466079
6241,KHM,2019,1671.3854000919
6242,KHM,2020,1577.91173991645
6243,KHM,2021,1625.23502147979
6244,KHM,2022,1759.60802346044
6245,KIR,1970,248.886250059956
6246,KIR,1971,261.017040721491
6247,KIR,1972,317.694979466963
6248,KIR,1973,523.295450770341
6249,KIR,1974,1404.97062281123
6250,KIR,1975,907.8518029962
6251,KIR,1976,681.651820937076
6252,KIR,1977,646.925990580846
6253,KIR,1978,760.315277711083
6254,KIR,1979,712.977201529712
6255,KIR,1980,692.771645730526
6256,KIR,1981,705.735265585418
6257,KIR,1982,644.260425635107
6258,KIR,1983,590.09258312588
6259,KIR,1984,644.694299230711
6260,KIR,1985,481.580328914938
6261,KIR,1986,460.224098794223
6262,KIR,1987,510.533618519255
6263,KIR,1988,621.29535314815
6264,KIR,1989,603.013266172588
6265,KIR,1990,571.499074713259
6266,KIR,1991,620.22682918678
6267,KIR,1992,612.781254628728
6268,KIR,1993,593.237086484226
6269,KIR,1994,683.177293085421
6270,KIR,1995,691.408426873241
6271,KIR,1996,803.038713486929
6272,KIR,1997,801.09221059887
6273,KIR,1998,761.420567927591
6274,KIR,1999,790.87267563366
6275,KIR,2000,757.133289998586
6276,KIR,2001,696.997731453524
6277,KIR,2002,781.362651616482
6278,KIR,2003,956.830581840066
6279,KIR,2004,1063.8785841761
6280,KIR,2005,1142.33584961179
6281,KIR,2006,1101.45760046186
6282,KIR,2007,1300.75934223913
6283,KIR,2008,1356.64749097825
6284,KIR,2009,1249.30223151775
6285,KIR,2010,1438.08141312394
6286,KIR,2011,1644.40755349869
6287,KIR,2012,1698.91912438014
6288,KIR,2013,1628.64259354319
6289,KIR,2014,1546.88176752726
6290,KIR,2015,1459.14398299206
6291,KIR,2016,1506.23100308107
6292,KIR,2017,1566.44713639955
6293,KIR,2018,1607.22982544435
6294,KIR,2019,1410.01464320535
6295,KIR,2020,1403.99385262696
6296,KIR,2021,1766.14428934624
6297,KIR,2022,1701.97066488808
6298,KNA,1961,221.937207763579
6299,KNA,1962,226.366964706129
6300,KNA,1963,235.945308048762
6301,KNA,1964,251.931896067672
6302,KNA,1965,261.341362697125
6303,KNA,1966,285.481881098132
6304,KNA,1967,339.8148582676
6305,KNA,1968,305.618353847442
6306,KNA,1969,343.556952422239
6307,KNA,1970,362.479985767657
6308,KNA,1971,440.184519891085
6309,KNA,1972,516.589722521269
6310,KNA,1973,546.90155003668
6311,KNA,1974,715.336306243013
6312,KNA,1975,760.209061692015
6313,KNA,1976,688.05675113066
6314,KNA,1977,1020.48703750422
6315,KNA,1978,1137.31354729859
6316,KNA,1979,1359.59935165074
6317,KNA,1980,1588.49245328583
6318,KNA,1981,1883.19532719225
6319,KNA,1982,2010.14680147269
6320,KNA,1983,2039.29751347592
6321,KNA,1984,2326.65652911052
6322,KNA,1985,2634.00264349391
6323,KNA,1986,3119.79720655029
6324,KNA,1987,3550.18737891122
6325,KNA,1988,4179.29364227856
6326,KNA,1989,4696.49001069766
6327,KNA,1990,5346.47256765575
6328,KNA,1991,5439.80910514382
6329,KNA,1992,5920.22095445078
6330,KNA,1993,6363.68266836093
6331,KNA,1994,7027.43409107543
6332,KNA,1995,7367.45441093267
6333,KNA,1996,7748.67031218981
6334,KNA,1997,8581.66822371819
6335,KNA,1998,8665.09905958579
6336,KNA,1999,9070.73027045761
6337,KNA,2000,9275.98974602226
6338,KNA,2001,9973.5534513591
6339,KNA,2002,10398.5252825083
6340,KNA,2003,10119.7447797779
6341,KNA,2004,10882.3529411765
6342,KNA,2005,11711.1547074094
6343,KNA,2006,13747.8093359819
6344,KNA,2007,14660.9632071719
6345,KNA,2008,16491.8850906212
6346,KNA,2009,16374.256885994
6347,KNA,2010,16427.6210053903
6348,KNA,2011,17571.984460028
6349,KNA,2012,17293.8060527894
6350,KNA,2013,18315.914675326
6351,KNA,2014,19945.3151701577
6352,KNA,2015,20025.652352499
6353,KNA,2016,21079.520970707
6354,KNA,2017,22148.5124341669
6355,KNA,2018,22533.8820531551
6356,KNA,2019,23204.9705641255
6357,KNA,2020,18553.6571372598
6358,KNA,2021,18035.3861402469
6359,KNA,2022,20262.2671364514
6360,KOR,1961,93.8313831944754
6361,KOR,1962,106.159702780685
6362,KOR,1963,146.302492590131
6363,KOR,1964,123.606374492665
6364,KOR,1965,108.723112442051
6365,KOR,1966,133.479834432364
6366,KOR,1967,161.159443282246
6367,KOR,1968,198.434884397043
6368,KOR,1969,243.426137656633
6369,KOR,1970,279.308746302217
6370,KOR,1971,301.178736655376
6371,KOR,1972,324.192811178745
6372,KOR,1973,406.897093528455
6373,KOR,1974,563.352475775669
6374,KOR,1975,617.456061933567
6375,KOR,1976,834.134207951691
6376,KOR,1977,1055.8800411599
6377,KOR,1978,1405.82237444554
6378,KOR,1979,1783.62231287847
6379,KOR,1980,1715.42239973641
6380,KOR,1981,1883.45598002963
6381,KOR,1982,1992.51677784629
6382,KOR,1983,2198.93929063878
