,ISO3,year,ndvi
60,GIN,2005,0.724727699279785
60,GIN,2006,0.7226153717041016
60,GIN,2007,0.7280520629882813
60,GIN,2008,0.7284490280151367
60,GIN,2009,0.7306933822631836
60,GIN,2010,0.7296993408203126
60,GIN,2011,0.7344394989013672
60,GIN,2012,0.7478102035522461
60,GIN,2013,0.7362925415039061
60,GIN,2014,0.7285364456176758
60,GIN,2015,0.7385837936401367
60,GIN,2016,0.7333004989624023
60,GIN,2017,0.7182735366821287
60,GIN,2018,0.731037910461426
60,GIN,2019,0.7369798278808593
60,GIN,2020,0.7344388809204102
60,GIN,2021,0.7385338439941406
60,GIN,2022,0.736072982788086
53,GMB,1982,0.5376793594360354
53,GMB,1983,0.5424379692077637
53,GMB,1984,0.5444116554260253
53,GMB,1985,0.5470147743225098
53,GMB,1986,0.5391828842163084
53,GMB,1987,0.5668835258483886
53,GMB,1988,0.5459559135437013
53,GMB,1989,0.5814537277221677
53,GMB,1990,0.5537964515686035
53,GMB,1991,0.5320771751403809
53,GMB,1992,0.5508977928161621
53,GMB,1993,0.54698193359375
53,GMB,1994,0.5464123153686522
53,GMB,1995,0.5565484809875487
53,GMB,1996,0.5485391845703126
53,GMB,1997,0.5533822402954103
53,GMB,1998,0.5356802711486819
53,GMB,1999,0.5618200531005859
53,GMB,2000,0.5657646369934082
53,GMB,2001,0.5660918197631836
53,GMB,2002,0.5391593780517581
53,GMB,2003,0.5525496559143067
53,GMB,2004,0.5615083808898926
53,GMB,2005,0.5506019744873046
53,GMB,2006,0.5583407745361326
53,GMB,2007,0.5319052391052248
53,GMB,2008,0.571900363922119
53,GMB,2009,0.5658859634399411
53,GMB,2010,0.5643490867614747
53,GMB,2011,0.5366068687438964
53,GMB,2012,0.5718307762145998
53,GMB,2013,0.5517147521972656
53,GMB,2014,0.5077184028625489
53,GMB,2015,0.553549861907959
53,GMB,2016,0.5236439704895017
53,GMB,2017,0.5332653999328614
53,GMB,2018,0.5329115028381348
53,GMB,2019,0.5343998565673828
53,GMB,2020,0.5699489250183105
53,GMB,2021,0.5451579856872558
53,GMB,2022,0.5883788833618164
119,GNB,1982,0.6701305084228516
119,GNB,1983,0.6804512252807617
119,GNB,1984,0.6628749465942385
119,GNB,1985,0.6859757080078125
119,GNB,1986,0.6802146759033201
119,GNB,1987,0.6854027404785158
119,GNB,1988,0.657890251159668
119,GNB,1989,0.6875214691162109
119,GNB,1990,0.6951440963745116
119,GNB,1991,0.6625149307250977
119,GNB,1992,0.6872988433837891
119,GNB,1993,0.6830099105834961
119,GNB,1994,0.6851531677246094
119,GNB,1995,0.696426811218262
119,GNB,1996,0.6943694992065429
119,GNB,1997,0.6910084075927732
119,GNB,1998,0.6837367630004882
119,GNB,1999,0.675985969543457
119,GNB,2000,0.6943346328735351
119,GNB,2001,0.6884668426513672
119,GNB,2002,0.6970285949707032
119,GNB,2003,0.6876850128173828
119,GNB,2004,0.6777378387451174
119,GNB,2005,0.6867580490112306
119,GNB,2006,0.6985245056152344
119,GNB,2007,0.6799711303710938
119,GNB,2008,0.6929441680908205
119,GNB,2009,0.6958841857910155
119,GNB,2010,0.6842089080810547
119,GNB,2011,0.6950874404907227
119,GNB,2012,0.7013710861206055
119,GNB,2013,0.68268049621582
119,GNB,2014,0.6848274841308593
119,GNB,2015,0.6963059539794924
119,GNB,2016,0.6762862701416016
119,GNB,2017,0.672080093383789
119,GNB,2018,0.6963909988403321
119,GNB,2019,0.6848990020751953
119,GNB,2020,0.7047220153808594
119,GNB,2021,0.7005621032714844
119,GNB,2022,0.7013398818969726
46,GNQ,1982,0.7212519958496093
46,GNQ,1983,0.7166179748535156
46,GNQ,1984,0.71992421875
46,GNQ,1985,0.7306377807617187
46,GNQ,1986,0.7333770507812498
46,GNQ,1987,0.7288590454101562
46,GNQ,1988,0.7292938720703126
46,GNQ,1989,0.7278266662597656
46,GNQ,1990,0.727875262451172
46,GNQ,1991,0.7257816589355468
46,GNQ,1992,0.7257331115722656
46,GNQ,1993,0.7306903198242187
46,GNQ,1994,0.7254254638671875
46,GNQ,1995,0.7271716125488281
46,GNQ,1996,0.7323674865722657
46,GNQ,1997,0.7252009887695311
46,GNQ,1998,0.7269851989746093
46,GNQ,1999,0.7280457946777346
46,GNQ,2000,0.7338900390625
46,GNQ,2001,0.7225493996360085
46,GNQ,2002,0.7258011252663352
46,GNQ,2003,0.7295970292524857
46,GNQ,2004,0.7278030450994318
46,GNQ,2005,0.7306256602894174
46,GNQ,2006,0.7237017822265625
46,GNQ,2007,0.7287793523615056
46,GNQ,2008,0.7288493929776279
46,GNQ,2009,0.720834328391335
46,GNQ,2010,0.7028282089233399
46,GNQ,2011,0.7178703335848722
46,GNQ,2012,0.6980785189541904
46,GNQ,2013,0.7384095458984375
46,GNQ,2014,0.73374599609375
46,GNQ,2015,0.7166963317871093
