,ISO3,year,TFP
549,BDI,1961,124.9652976
550,BDI,1962,123.5651708
551,BDI,1963,120.9722971
552,BDI,1964,129.251725
553,BDI,1965,123.2645694
554,BDI,1966,121.2242446
555,BDI,1967,119.5547337
556,BDI,1968,118.7747749
557,BDI,1969,113.6015642
558,BDI,1970,112.5047386
559,BDI,1971,113.8584559
560,BDI,1972,102.8288527
561,BDI,1973,110.5076986
562,BDI,1974,104.7656773
563,BDI,1975,106.1118506
564,BDI,1976,107.6098758
565,BDI,1977,107.3018723
566,BDI,1978,99.69919722
567,BDI,1979,97.82358696
568,BDI,1980,100.2726593
569,BDI,1981,120.3212359
570,BDI,1982,110.4306773
571,BDI,1983,108.5785504
572,BDI,1984,108.7204811
573,BDI,1985,120.4917219
574,BDI,1986,115.1362141
575,BDI,1987,120.897306
576,BDI,1988,119.1948655
577,BDI,1989,113.718692
578,BDI,1990,120.2097946
579,BDI,1991,126.9518064
580,BDI,1992,124.0749608
581,BDI,1993,125.5532699
582,BDI,1994,123.8626827
583,BDI,1995,119.3668186
584,BDI,1996,121.3045981
585,BDI,1997,123.2954268
586,BDI,1998,112.9649777
587,BDI,1999,116.9481356
588,BDI,2000,121.1513086
589,BDI,2001,127.7134138
590,BDI,2002,146.826003
591,BDI,2003,131.6512627
592,BDI,2004,142.874933
593,BDI,2005,117.0992796
594,BDI,2006,131.9992345
595,BDI,2007,121.5205949
596,BDI,2008,127.0736817
597,BDI,2009,119.0168851
598,BDI,2010,122.9513562
599,BDI,2011,112.3957436
600,BDI,2012,94.51677376
601,BDI,2013,124.3984592
602,BDI,2014,108.2348005
603,BDI,2015,100.0
604,BDI,2016,101.2285618
605,BDI,2017,93.68841016
606,BDI,2018,106.1190832
607,BDI,2019,105.3450293
608,BDI,2020,101.8073511
609,BDI,2021,99.35981307
610,BEL,1961,
611,BEL,1962,
612,BEL,1963,
613,BEL,1964,
614,BEL,1965,
615,BEL,1966,
616,BEL,1967,
617,BEL,1968,
618,BEL,1969,
619,BEL,1970,
620,BEL,1971,
621,BEL,1972,
622,BEL,1973,
623,BEL,1974,
624,BEL,1975,
625,BEL,1976,
626,BEL,1977,
627,BEL,1978,
628,BEL,1979,
629,BEL,1980,
630,BEL,1981,
631,BEL,1982,
632,BEL,1983,
633,BEL,1984,
634,BEL,1985,
635,BEL,1986,
636,BEL,1987,
637,BEL,1988,
638,BEL,1989,
639,BEL,1990,
640,BEL,1991,
641,BEL,1992,
642,BEL,1993,
643,BEL,1994,
644,BEL,1995,
645,BEL,1996,
646,BEL,1997,
647,BEL,1998,
648,BEL,1999,
649,BEL,2000,111.0081888
650,BEL,2001,112.1929034
651,BEL,2002,87.77225333
652,BEL,2003,86.50109854
653,BEL,2004,85.93118455
654,BEL,2005,85.27251598
655,BEL,2006,85.76802662
656,BEL,2007,83.89357053
657,BEL,2008,84.68363
658,BEL,2009,85.17543969
659,BEL,2010,92.4249621
660,BEL,2011,93.89003309
661,BEL,2012,91.33618123
662,BEL,2013,92.53229273
663,BEL,2014,99.57913099
664,BEL,2015,100.0
665,BEL,2016,96.66412147
666,BEL,2017,100.8657449
667,BEL,2018,99.45656157
668,BEL,2019,104.4169602
669,BEL,2020,104.9791505
670,BEL,2021,106.6833151
671,BEN,1961,55.25095349
672,BEN,1962,51.23990166
673,BEN,1963,50.17018519
674,BEN,1964,50.65917763
675,BEN,1965,50.49267918
676,BEN,1966,49.59131743
677,BEN,1967,51.70774926
678,BEN,1968,54.20998212
679,BEN,1969,51.60406406
680,BEN,1970,51.80108002
681,BEN,1971,52.99511467
682,BEN,1972,52.25862212
683,BEN,1973,52.88772457
684,BEN,1974,51.14542661
685,BEN,1975,50.77312914
686,BEN,1976,56.91734531
687,BEN,1977,55.29397124
688,BEN,1978,55.87594518
689,BEN,1979,57.94177655
690,BEN,1980,55.27427656
691,BEN,1981,51.32671958
692,BEN,1982,51.22539372
693,BEN,1983,49.74701813
694,BEN,1984,59.48024504
695,BEN,1985,56.0373272
696,BEN,1986,61.6981739
697,BEN,1987,54.71567129
698,BEN,1988,63.40270612
699,BEN,1989,65.59397439
700,BEN,1990,64.92391362
701,BEN,1991,69.26403232
702,BEN,1992,66.38625291
703,BEN,1993,70.9600838
704,BEN,1994,69.71467854
705,BEN,1995,74.56804576
706,BEN,1996,79.81364157
707,BEN,1997,81.32902651
708,BEN,1998,82.15319489
709,BEN,1999,84.55507716
710,BEN,2000,88.0532532
711,BEN,2001,90.1228429
712,BEN,2002,97.33962446
713,BEN,2003,100.1811616
714,BEN,2004,104.9358617
715,BEN,2005,95.15007869
716,BEN,2006,88.82648932
717,BEN,2007,90.07599845
718,BEN,2008,96.33476337
719,BEN,2009,92.48283898
720,BEN,2010,92.7973818
721,BEN,2011,103.7285798
722,BEN,2012,97.18989554
723,BEN,2013,108.8758593
724,BEN,2014,109.4266092
725,BEN,2015,100.0
726,BEN,2016,102.0742953
727,BEN,2017,108.4040075
728,BEN,2018,96.0385144
729,BEN,2019,94.56904628
730,BEN,2020,93.3723179
731,BEN,2021,92.82493072
732,BFA,1961,63.19342823
733,BFA,1962,66.52445142
734,BFA,1963,67.54024294
735,BFA,1964,70.88793407
736,BFA,1965,68.96449598
737,BFA,1966,65.14141096
738,BFA,1967,64.85493687
739,BFA,1968,69.04073181
740,BFA,1969,65.28714259
741,BFA,1970,68.09078744
742,BFA,1971,63.17928611
743,BFA,1972,62.42139205
744,BFA,1973,56.82981039
745,BFA,1974,58.01201487
746,BFA,1975,62.79923795
747,BFA,1976,57.25964103
748,BFA,1977,57.63683191
749,BFA,1978,58.8643007
750,BFA,1979,61.9156836
751,BFA,1980,61.67803145
752,BFA,1981,63.52776353
753,BFA,1982,62.8363386
754,BFA,1983,62.99333015
755,BFA,1984,65.65403275
756,BFA,1985,72.41403671
757,BFA,1986,75.14799173
758,BFA,1987,67.78071328
759,BFA,1988,72.94604927
760,BFA,1989,69.4514916
761,BFA,1990,74.64860256
762,BFA,1991,93.41091024
763,BFA,1992,90.87093805
764,BFA,1993,93.60948199
765,BFA,1994,90.42652127
766,BFA,1995,90.76571581
767,BFA,1996,95.53476912
768,BFA,1997,90.15286023
769,BFA,1998,97.15740412
770,BFA,1999,98.3405753
771,BFA,2000,92.44719176
772,BFA,2001,107.1312285
773,BFA,2002,105.0127247
774,BFA,2003,103.5435341
775,BFA,2004,101.4286122
776,BFA,2005,108.4977331
777,BFA,2006,111.2125277
778,BFA,2007,98.17799476
779,BFA,2008,110.4037415
780,BFA,2009,104.4177584
781,BFA,2010,92.276702
782,BFA,2011,91.89064222
783,BFA,2012,90.71600896
784,BFA,2013,98.51953253
785,BFA,2014,105.8785762
786,BFA,2015,100.0
787,BFA,2016,96.46033086
788,BFA,2017,89.07709905
789,BFA,2018,92.07279356
790,BFA,2019,95.19631358
791,BFA,2020,91.93854213
792,BFA,2021,86.1331506
793,BGD,1961,76.53680254
794,BGD,1962,71.53144602
795,BGD,1963,77.44618424
796,BGD,1964,74.94405933
797,BGD,1965,76.13340579
798,BGD,1966,70.91700667
799,BGD,1967,77.61974669
800,BGD,1968,74.74619204
801,BGD,1969,76.18826566
802,BGD,1970,72.89722234
803,BGD,1971,67.4264621
804,BGD,1972,66.4302688
805,BGD,1973,72.10486336
806,BGD,1974,69.11788565
807,BGD,1975,73.04269444
808,BGD,1976,69.55750373
809,BGD,1977,73.56888513
810,BGD,1978,71.56777333
811,BGD,1979,68.80038065
812,BGD,1980,77.21734193
813,BGD,1981,77.38196049
814,BGD,1982,78.91743321
815,BGD,1983,78.24203475
816,BGD,1984,76.99403118
817,BGD,1985,79.2201668
818,BGD,1986,78.80936399
819,BGD,1987,75.95589742
820,BGD,1988,74.17115396
821,BGD,1989,76.86946668
822,BGD,1990,76.61753503
823,BGD,1991,78.46263363
824,BGD,1992,79.32534505
825,BGD,1993,77.93605786
826,BGD,1994,74.13527423
827,BGD,1995,73.75396724
828,BGD,1996,76.73811018
829,BGD,1997,78.35915907
830,BGD,1998,79.40085739
831,BGD,1999,84.65815558
832,BGD,2000,86.10807942
833,BGD,2001,83.48852522
834,BGD,2002,84.53424651
835,BGD,2003,86.66551703
836,BGD,2004,84.41217571
837,BGD,2005,91.5968839
838,BGD,2006,92.06981056
839,BGD,2007,94.53315159
840,BGD,2008,98.49193995
841,BGD,2009,98.37038936
842,BGD,2010,99.6695832
843,BGD,2011,100.9961691
844,BGD,2012,102.9765606
845,BGD,2013,102.1023163
846,BGD,2014,101.1014343
847,BGD,2015,100.0
848,BGD,2016,98.29357759
849,BGD,2017,100.3954303
850,BGD,2018,98.97830614
851,BGD,2019,91.71691191
852,BGD,2020,91.20861418
853,BGD,2021,92.70593018
854,BGR,1961,79.43990122
855,BGR,1962,87.56943127
856,BGR,1963,85.22819939
857,BGR,1964,82.53474066
858,BGR,1965,89.75344901
859,BGR,1966,92.91758237
860,BGR,1967,90.40041029
861,BGR,1968,87.22969529
862,BGR,1969,89.05568952
863,BGR,1970,87.599615
864,BGR,1971,87.34457233
865,BGR,1972,88.54886383
866,BGR,1973,89.29439476
867,BGR,1974,84.18106544
868,BGR,1975,84.15664066
869,BGR,1976,88.5407151
870,BGR,1977,82.52505847
871,BGR,1978,87.21919189
872,BGR,1979,88.74005782
873,BGR,1980,84.55222696
874,BGR,1981,88.67220051
875,BGR,1982,93.54358524
