,ISO3,year,Drought,Heat wave,Wildfire,Flood
475,ATG,1980,0,0,0,0
476,ATG,1981,0,0,0,0
477,ATG,1982,0,0,0,0
478,ATG,1983,1,0,0,0
479,ATG,1984,0,0,0,0
480,ATG,1985,0,0,0,0
481,ATG,1986,0,0,0,0
482,ATG,1987,0,0,0,0
483,ATG,1988,0,0,0,0
484,ATG,1989,0,0,0,0
485,ATG,1990,0,0,0,0
486,ATG,1991,0,0,0,0
487,ATG,1992,0,0,0,0
488,ATG,1993,0,0,0,0
489,ATG,1994,0,0,0,0
490,ATG,1995,0,0,0,0
491,ATG,1996,0,0,0,0
492,ATG,1997,0,0,0,0
493,ATG,1998,0,0,0,0
494,ATG,1999,0,0,0,0
495,ATG,2000,0,0,0,0
496,ATG,2001,0,0,0,0
497,ATG,2002,0,0,0,0
498,ATG,2003,0,0,0,0
499,ATG,2004,0,0,0,0
500,ATG,2005,0,0,0,0
501,ATG,2006,0,0,0,0
502,ATG,2007,0,0,0,0
503,ATG,2008,0,0,0,0
504,ATG,2009,0,0,0,0
505,ATG,2010,0,0,0,0
506,ATG,2011,0,0,0,0
507,ATG,2012,0,0,0,0
508,ATG,2013,0,0,0,0
509,ATG,2014,0,0,0,0
510,ATG,2015,0,0,0,0
511,ATG,2016,0,0,0,0
512,ATG,2017,0,0,0,0
513,ATG,2018,0,0,0,0
514,ATG,2019,0,0,0,0
515,ATG,2020,0,0,0,0
516,ATG,2021,0,0,0,0
517,ATG,2022,0,0,0,0
518,ATG,2023,0,0,0,0
519,ATG,2024,0,0,0,0
520,AUS,1960,0,0,0,0
521,AUS,1961,0,0,0,0
522,AUS,1962,0,0,0,0
523,AUS,1963,0,0,0,0
524,AUS,1964,0,0,0,0
525,AUS,1965,0,0,0,0
526,AUS,1966,0,0,0,0
527,AUS,1967,1,0,1,0
528,AUS,1968,0,0,1,0
529,AUS,1969,0,0,0,0
530,AUS,1970,0,0,0,0
531,AUS,1971,0,0,0,1
532,AUS,1972,0,0,0,0
533,AUS,1973,0,0,0,1
534,AUS,1974,1,0,0,1
535,AUS,1975,0,0,0,0
536,AUS,1976,1,0,0,1
537,AUS,1977,0,0,1,0
538,AUS,1978,1,0,0,1
539,AUS,1979,0,0,0,0
540,AUS,1980,0,0,0,0
541,AUS,1981,1,0,0,1
542,AUS,1982,0,0,0,0
543,AUS,1983,0,0,1,0
544,AUS,1984,0,0,0,1
545,AUS,1985,0,0,1,0
546,AUS,1986,0,0,0,1
547,AUS,1987,0,0,0,0
548,AUS,1988,0,0,0,1
549,AUS,1989,0,0,0,1
550,AUS,1990,0,0,1,1
551,AUS,1991,1,0,0,0
552,AUS,1992,1,0,0,0
553,AUS,1993,0,1,0,1
554,AUS,1994,0,1,1,0
555,AUS,1995,0,1,0,0
556,AUS,1996,0,0,0,1
557,AUS,1997,0,0,1,1
558,AUS,1998,0,0,0,1
559,AUS,1999,0,0,1,0
560,AUS,2000,0,0,1,1
561,AUS,2001,0,0,1,1
562,AUS,2002,1,0,1,0
